row,time_years,interpolated
106,1967.042,322.07
107,1967.125,322.5
108,1967.208,323.04
109,1967.292,324.42
110,1967.375,325.0
111,1967.458,324.09
112,1967.542,322.55
113,1967.625,320.92
114,1967.708,319.31
115,1967.792,319.31
116,1967.875,320.72
117,1967.958,321.96
118,1968.042,322.57
119,1968.125,323.15
120,1968.208,323.89
121,1968.292,325.02
122,1968.375,325.57
123,1968.458,325.36
124,1968.542,324.14
125,1968.625,322.03
126,1968.708,320.41
127,1968.792,320.25
128,1968.875,321.31
129,1968.958,322.84
130,1969.042,324.0
131,1969.125,324.42
132,1969.208,325.64
133,1969.292,326.66
134,1969.375,327.34
135,1969.458,326.76
136,1969.542,325.88
137,1969.625,323.67
138,1969.708,322.38
139,1969.792,321.78
140,1969.875,322.85
141,1969.958,324.11
142,1970.042,325.03
143,1970.125,325.99
144,1970.208,326.87
145,1970.292,328.13
146,1970.375,328.07
147,1970.458,327.66
148,1970.542,326.35
149,1970.625,324.69
150,1970.708,323.1
151,1970.792,323.16
152,1970.875,323.98
153,1970.958,325.13
154,1971.042,326.17
155,1971.125,326.68
156,1971.208,327.18
157,1971.292,327.78
158,1971.375,328.92
159,1971.458,328.57
160,1971.542,327.34
161,1971.625,325.46
162,1971.708,323.36
163,1971.792,323.57
164,1971.875,324.8
165,1971.958,326.01
166,1972.042,326.77
167,1972.125,327.63
168,1972.208,327.75
169,1972.292,329.72
170,1972.375,330.07
171,1972.458,329.09
172,1972.542,328.05
173,1972.625,326.32
174,1972.708,324.93
175,1972.792,325.06
176,1972.875,326.5
177,1972.958,327.55
178,1973.042,328.54
179,1973.125,329.56
180,1973.208,330.3
181,1973.292,331.5
182,1973.375,332.48
183,1973.458,332.07
184,1973.542,330.87
185,1973.625,329.31
186,1973.708,327.51
187,1973.792,327.18
188,1973.875,328.16
189,1973.958,328.64
190,1974.042,329.35
191,1974.125,330.71
192,1974.208,331.48
193,1974.292,332.65
194,1974.375,333.2
195,1974.458,332.16
196,1974.542,331.07
197,1974.625,329.12
198,1974.708,327.32
199,1974.792,327.28
200,1974.875,328.3
201,1974.958,329.58
202,1975.042,330.73
203,1975.125,331.46
204,1975.208,331.9
205,1975.292,333.17
206,1975.375,333.94
207,1975.458,333.45
208,1975.542,331.98
209,1975.625,329.95
210,1975.708,328.5
211,1975.792,328.35
212,1975.875,329.37
213,1975.958,330.58
214,1976.042,331.59
215,1976.125,332.75
216,1976.208,333.52
217,1976.292,334.64
218,1976.375,334.77
219,1976.458,334.0
220,1976.542,333.06
221,1976.625,330.68
222,1976.708,328.95
223,1976.792,328.75
224,1976.875,330.15
225,1976.958,331.62
226,1977.042,332.66
227,1977.125,333.13
228,1977.208,334.95
229,1977.292,336.13
230,1977.375,336.93
231,1977.458,336.16
232,1977.542,334.88
233,1977.625,332.56
234,1977.708,331.29
235,1977.792,331.27
236,1977.875,332.41
237,1977.958,333.6
238,1978.042,334.95
239,1978.125,335.25
240,1978.208,336.66
241,1978.292,337.69
242,1978.375,338.03
243,1978.458,338.01
244,1978.542,336.41
245,1978.625,334.41
246,1978.708,332.37
247,1978.792,332.41
248,1978.875,333.75
249,1978.958,334.9
250,1979.042,336.14
251,1979.125,336.69
252,1979.208,338.27
253,1979.292,338.96
254,1979.375,339.21
255,1979.458,339.26
256,1979.542,337.54
257,1979.625,335.75
258,1979.708,333.98
259,1979.792,334.19
260,1979.875,335.31
261,1979.958,336.81
262,1980.042,337.9
263,1980.125,338.34
264,1980.208,340.01
265,1980.292,340.93
266,1980.375,341.48
267,1980.458,341.33
268,1980.542,339.4
269,1980.625,337.7
270,1980.708,336.19
271,1980.792,336.15
272,1980.875,337.27
273,1980.958,338.32
274,1981.042,339.29
275,1981.125,340.55
276,1981.208,341.61
277,1981.292,342.53
278,1981.375,343.03
279,1981.458,342.54
280,1981.542,340.78
281,1981.625,338.44
282,1981.708,336.95
283,1981.792,337.08
284,1981.875,338.58
285,1981.958,339.88
286,1982.042,340.96
287,1982.125,341.73
288,1982.208,342.81
289,1982.292,343.97
290,1982.375,344.63
291,1982.458,343.79
292,1982.542,342.32
293,1982.625,340.09
294,1982.708,338.28
295,1982.792,338.29
296,1982.875,339.6
297,1982.958,340.9
298,1983.042,341.68
299,1983.125,342.9
300,1983.208,343.33
301,1983.292,345.25
302,1983.375,346.03
303,1983.458,345.63
304,1983.542,344.19
305,1983.625,342.27
306,1983.708,340.35
307,1983.792,340.38
308,1983.875,341.59
309,1983.958,343.05
310,1984.042,344.1
311,1984.125,344.79
312,1984.208,345.52
313,1984.292,346.84
314,1984.375,347.63
315,1984.458,346.97
316,1984.542,345.53
317,1984.625,343.55
318,1984.708,341.4
319,1984.792,341.67
320,1984.875,343.1
321,1984.958,344.7
322,1985.042,345.21
323,1985.125,346.16
324,1985.208,347.74
325,1985.292,348.33
326,1985.375,349.06
327,1985.458,348.38
328,1985.542,346.72
329,1985.625,345.02
330,1985.708,343.27
331,1985.792,343.13
332,1985.875,344.49
333,1985.958,345.88
334,1986.042,346.56
335,1986.125,347.28
336,1986.208,348.01
337,1986.292,349.77
338,1986.375,350.38
339,1986.458,349.93
340,1986.542,348.16
341,1986.625,346.08
342,1986.708,345.22
343,1986.792,344.51
344,1986.875,345.93
345,1986.958,347.22
346,1987.042,348.52
347,1987.125,348.73
348,1987.208,349.73
349,1987.292,351.31
350,1987.375,352.09
351,1987.458,351.53
352,1987.542,350.11
353,1987.625,348.08
354,1987.708,346.52
355,1987.792,346.59
356,1987.875,347.96
357,1987.958,349.16
358,1988.042,350.39
359,1988.125,351.64
360,1988.208,352.41
361,1988.292,353.69
362,1988.375,354.21
363,1988.458,353.72
364,1988.542,352.69
365,1988.625,350.4
366,1988.708,348.92
367,1988.792,349.13
368,1988.875,350.2
369,1988.958,351.41
370,1989.042,352.91
371,1989.125,353.27
372,1989.208,353.96
373,1989.292,355.64
374,1989.375,355.86
375,1989.458,355.37
376,1989.542,353.99
377,1989.625,351.81
378,1989.708,350.05
379,1989.792,350.25
380,1989.875,351.49
381,1989.958,352.85
382,1990.042,353.8
383,1990.125,355.04
384,1990.208,355.73
385,1990.292,356.32
386,1990.375,357.32
387,1990.458,356.34
388,1990.542,354.84
389,1990.625,353.01
390,1990.708,351.31
391,1990.792,351.62
392,1990.875,353.07
393,1990.958,354.33
394,1991.042,354.84
395,1991.125,355.73
396,1991.208,357.23
397,1991.292,358.66
398,1991.375,359.13
399,1991.458,358.13
400,1991.542,356.19
401,1991.625,353.85
402,1991.708,352.25
403,1991.792,352.35
404,1991.875,353.81
405,1991.958,355.12
406,1992.042,356.25
407,1992.125,357.11
408,1992.208,357.86
409,1992.292,359.09
410,1992.375,359.59
411,1992.458,359.33
412,1992.542,357.01
413,1992.625,354.94
414,1992.708,352.95
415,1992.792,353.32
416,1992.875,354.32
417,1992.958,355.57
418,1993.042,357.0
419,1993.125,357.31
420,1993.208,358.47
421,1993.292,359.27
422,1993.375,360.19
423,1993.458,359.52
424,1993.542,357.33
425,1993.625,355.64
426,1993.708,354.03
427,1993.792,354.12
428,1993.875,355.41
429,1993.958,356.91
430,1994.042,358.24
431,1994.125,358.92
432,1994.208,359.99
433,1994.292,361.23
434,1994.375,361.65
435,1994.458,360.81
436,1994.542,359.38
437,1994.625,357.46
438,1994.708,355.73
439,1994.792,356.07
440,1994.875,357.53
441,1994.958,358.98
442,1995.042,359.92
443,1995.125,360.86
444,1995.208,361.83
445,1995.292,363.3
446,1995.375,363.69
447,1995.458,363.19
448,1995.542,361.64
449,1995.625,359.12
450,1995.708,358.17
451,1995.792,357.99
452,1995.875,359.45
453,1995.958,360.68
454,1996.042,362.07
455,1996.125,363.24
456,1996.208,364.17
457,1996.292,364.57
458,1996.375,365.13
459,1996.458,364.92
460,1996.542,363.55
461,1996.625,361.38
462,1996.708,359.54
463,1996.792,359.58
464,1996.875,360.89
465,1996.958,362.24
466,1997.042,363.09
467,1997.125,364.03
468,1997.208,364.51
469,1997.292,366.35
470,1997.375,366.64
471,1997.458,365.59
472,1997.542,364.31
473,1997.625,362.25
474,1997.708,360.29
475,1997.792,360.82
476,1997.875,362.49
477,1997.958,364.38
478,1998.042,365.26
479,1998.125,365.98
480,1998.208,367.24
481,1998.292,368.66
482,1998.375,369.42
483,1998.458,368.99
484,1998.542,367.82
485,1998.625,365.95
486,1998.708,364.02
487,1998.792,364.4
488,1998.875,365.52
489,1998.958,367.13
490,1999.042,368.18
491,1999.125,369.07
492,1999.208,369.68
493,1999.292,370.99
494,1999.375,370.96
495,1999.458,370.3
496,1999.542,369.45
497,1999.625,366.9
498,1999.708,364.81
499,1999.792,365.37
500,1999.875,366.72
501,1999.958,368.1
502,2000.042,369.29
503,2000.125,369.54
504,2000.208,370.6
505,2000.292,371.81
506,2000.375,371.58
507,2000.458,371.7
508,2000.542,369.86
509,2000.625,368.13
510,2000.708,367.0
511,2000.792,367.03
512,2000.875,368.37
513,2000.958,369.67
514,2001.042,370.59
515,2001.125,371.51
516,2001.208,372.43
517,2001.292,373.37
518,2001.375,373.85
519,2001.458,373.21
520,2001.542,371.51
521,2001.625,369.61
522,2001.708,368.18
523,2001.792,368.45
524,2001.875,369.76
525,2001.958,371.24
526,2002.042,372.53
527,2002.125,373.2
528,2002.208,374.12
529,2002.292,375.02
530,2002.375,375.76
531,2002.458,375.52
532,2002.542,374.01
533,2002.625,371.85
534,2002.708,370.75
535,2002.792,370.55
536,2002.875,372.25
537,2002.958,373.79
538,2003.042,374.88
539,2003.125,375.64
540,2003.208,376.45
541,2003.292,377.73
542,2003.375,378.6
543,2003.458,378.28
544,2003.542,376.7
545,2003.625,374.38
546,2003.708,373.17
547,2003.792,373.14
548,2003.875,374.66
549,2003.958,375.99
550,2004.042,377.0
551,2004.125,377.87
552,2004.208,378.88
553,2004.292,380.35
554,2004.375,380.62
555,2004.458,379.69
556,2004.542,377.47
557,2004.625,376.01
558,2004.708,374.25
559,2004.792,374.46
560,2004.875,376.16
561,2004.958,377.51
562,2005.042,378.46
563,2005.125,379.73
564,2005.208,380.77
565,2005.292,382.29
566,2005.375,382.45
567,2005.458,382.22
568,2005.542,380.74
569,2005.625,378.74
570,2005.708,376.7
571,2005.792,377.0
572,2005.875,378.35
573,2005.958,380.11
574,2006.042,381.38
575,2006.125,382.19
576,2006.208,382.67
577,2006.292,384.61
578,2006.375,385.03
579,2006.458,384.05
580,2006.542,382.46
581,2006.625,380.41
582,2006.708,378.85
583,2006.792,379.13
584,2006.875,380.15
585,2006.958,381.82
586,2007.042,382.89
587,2007.125,383.9
588,2007.208,384.58
589,2007.292,386.5
590,2007.375,386.56
591,2007.458,386.1
592,2007.542,384.5
593,2007.625,381.99
594,2007.708,380.96
595,2007.792,381.12
596,2007.875,382.45
597,2007.958,383.95
598,2008.042,385.52
599,2008.125,385.82
600,2008.208,386.03
601,2008.292,387.21
602,2008.375,388.54
603,2008.458,387.76
604,2008.542,386.36
605,2008.625,384.09
606,2008.708,383.18
607,2008.792,382.99
608,2008.875,384.19
609,2008.958,385.56
610,2009.042,386.94
611,2009.125,387.48
612,2009.208,388.82
613,2009.292,389.55
614,2009.375,390.14
615,2009.458,389.48
616,2009.542,388.03
617,2009.625,386.11
618,2009.708,384.74
619,2009.792,384.43
620,2009.875,386.02
621,2009.958,387.42
622,2010.042,388.71
623,2010.125,390.2
624,2010.208,391.17
625,2010.292,392.46
626,2010.375,393.0
627,2010.458,392.15
628,2010.542,390.2
629,2010.625,388.35
630,2010.708,386.85
631,2010.792,387.24
632,2010.875,388.67
633,2010.958,389.79
634,2011.042,391.33
635,2011.125,391.86
636,2011.208,392.6
637,2011.292,393.25
638,2011.375,394.19
639,2011.458,393.73
640,2011.542,392.51
641,2011.625,390.13
642,2011.708,389.08
643,2011.792,389.0
644,2011.875,390.28
645,2011.958,391.86
646,2012.042,393.12
647,2012.125,393.86
648,2012.208,394.4
649,2012.292,396.18
650,2012.375,396.74
651,2012.458,395.71
652,2012.542,394.36
653,2012.625,392.39
654,2012.708,391.11
655,2012.792,391.05
656,2012.875,392.98
657,2012.958,394.34
658,2013.042,395.55
659,2013.125,396.8
660,2013.208,397.43
661,2013.292,398.41
662,2013.375,399.78
663,2013.458,398.61
664,2013.542,397.32
665,2013.625,395.2
666,2013.708,393.45
667,2013.792,393.7
668,2013.875,395.16
669,2013.958,396.84
670,2014.042,397.85
671,2014.125,398.01
672,2014.208,399.77
673,2014.292,401.38
674,2014.375,401.78
675,2014.458,401.25
676,2014.542,399.1
677,2014.625,397.03
678,2014.708,395.38
679,2014.792,396.03
680,2014.875,397.28
681,2014.958,398.91
682,2015.042,399.98
683,2015.125,400.28
684,2015.208,401.54
685,2015.292,403.28
686,2015.375,403.96
687,2015.458,402.8
688,2015.542,401.31
689,2015.625,398.93
690,2015.708,397.63
691,2015.792,398.29
692,2015.875,400.16
693,2015.958,401.85
694,2016.042,402.52
695,2016.125,404.04
696,2016.208,404.83
697,2016.292,407.42
698,2016.375,407.7
699,2016.458,406.81
700,2016.542,404.39
701,2016.625,402.25
702,2016.708,401.03
703,2016.792,401.57
704,2016.875,403.53
705,2016.958,404.48
706,2017.042,406.13
707,2017.125,406.42
